2023-05-30 13:11:05.057472,2.18,501.38
2023-05-30 13:11:10.058352,0.35,80.96
2023-05-30 13:11:15.055555,2.75,631.91
2023-05-30 13:11:20.056232,2.13,490.71
2023-05-30 13:11:25.057022,-0.03,-6.44
2023-05-30 13:11:30.054092,2.87,659.61
2023-05-30 13:11:35.054822,7.66,1761.83
2023-05-30 13:11:40.055705,8.12,1868.5
2023-05-30 13:11:45.052547,7.32,1684.48
2023-05-30 13:11:50.053897,7.39,1698.7
2023-05-30 13:11:55.054392,8.08,1859.09
2023-05-30 13:12:00.051473,8.27,1903.04
2023-05-30 13:12:05.052380,7.24,1665.94
2023-05-30 13:12:10.049163,7.47,1718.38
2023-05-30 13:12:15.049891,8.71,2004.3
2023-05-30 13:12:20.050892,8.56,1968.21
2023-05-30 13:12:25.051456,7.21,1658.14
2023-05-30 13:12:30.048720,7.9,1816.25
2023-05-30 13:12:35.049555,8.32,1914.24
2023-05-30 13:12:40.046251,8.19,1883.38
2023-05-30 13:12:45.047193,7.2,1655.24
2023-05-30 13:12:50.048008,8.44,1940.68
2023-05-30 13:12:55.045013,8.31,1911.5
2023-05-30 13:13:00.046018,7.42,1706.05
2023-05-30 13:13:05.047067,7.16,1646.08
2023-05-30 13:13:10.043761,8.8,2022.92
2023-05-30 13:13:15.044383,8.51,1956.24
2023-05-30 13:13:20.045276,7.47,1717.98
2023-05-30 13:13:25.042267,7.48,1720.09
2023-05-30 13:13:30.043264,8.48,1951.17
2023-05-30 13:13:35.044095,7.69,1768.2
2023-05-30 13:13:40.044724,7.56,1738.56
2023-05-30 13:13:45.041546,7.91,1818.6
2023-05-30 13:13:50.042630,8.78,2019.38
2023-05-30 13:13:55.039530,7.2,1655.25
2023-05-30 13:14:00.040476,7.41,1703.54
2023-05-30 13:14:05.041787,8.55,1965.38
2023-05-30 13:14:10.038545,8.38,1926.49
2023-05-30 13:14:15.039437,7.39,1699.08
2023-05-30 13:14:20.039897,7.51,1727.92
2023-05-30 13:14:25.036682,8.35,1920.87
2023-05-30 13:14:30.037971,7.78,1790.18
2023-05-30 13:14:35.038463,7.24,1664.29
2023-05-30 13:14:40.035857,8.43,1939.33
2023-05-30 13:14:45.036287,8.59,1974.72
2023-05-30 13:14:50.037224,7.32,1682.47
2023-05-30 13:14:55.034331,7.58,1743.86
2023-05-30 13:15:00.035065,8.69,1998.6
2023-05-30 13:15:05.036015,7.75,1781.65
2023-05-30 13:15:10.032749,7.59,1744.99
2023-05-30 13:15:15.033495,7.82,1797.91
2023-05-30 13:15:20.030720,8.33,1914.96
2023-05-30 13:15:25.031467,7.73,1777.13
2023-05-30 13:15:30.032223,7.59,1745.73
2023-05-30 13:15:35.032967,8.02,1844.98
2023-05-30 13:15:40.029877,8.05,1851.83
2023-05-30 13:15:45.031239,7.66,1762.15
2023-05-30 13:15:50.028329,7.48,1720.36
2023-05-30 13:15:55.028754,8.43,1939.32
2023-05-30 13:16:00.029481,8.29,1906.76
2023-05-30 13:16:05.030251,7.28,1673.79
2023-05-30 13:16:10.027686,7.88,1811.87
2023-05-30 13:16:15.028011,7.94,1825.78
2023-05-30 13:16:20.025425,8.26,1900.0
2023-05-30 13:16:25.025949,7.04,1618.3
2023-05-30 13:16:30.022772,8.15,1874.64
2023-05-30 13:16:35.023883,8.65,1989.47
2023-05-30 13:16:40.024675,7.27,1671.01
2023-05-30 13:16:45.025766,0.01,1.53
2023-05-30 13:16:50.022278,3.13,720.68
2023-05-30 13:16:55.023271,2.34,538.38
2023-05-30 13:17:00.019957,-0.03,-6.17
